contig_id	contig_length	is_name	family	gold_start	gold_end	gold_length	gold_truncation	is_positive
meta_contig_complete_000_ISXfu1	2370	ISXfu1	IS5	604	1766	1162	complete	true
meta_contig_complete_001_ISCARN5	2567	ISCARN5	IS110	600	1967	1367	complete	true
meta_contig_complete_002_ISRor3	2227	ISRor3	ISNCY	604	1623	1019	complete	true
meta_contig_complete_003_ISAcma42	2350	ISAcma42	IS701	605	1745	1140	complete	true
meta_contig_complete_004_ISCku9	3071	ISCku9	IS1380	606	2465	1859	complete	true
meta_contig_complete_005_ISMma18	2930	ISMma18	IS1634	606	2324	1718	complete	true
meta_contig_complete_006_IS982	2213	IS982	IS982	607	1606	999	complete	true
meta_contig_complete_007_ISH27-3	2599	ISH27-3	ISH3	605	1994	1389	complete	true
meta_contig_complete_008_IS231P	2871	IS231P	IS4	609	2262	1653	complete	true
meta_contig_complete_009_ISMac7	2906	ISMac7	IS200/IS605	600	2306	1706	complete	true
meta_contig_complete_010_ISSod20	2211	ISSod20	IS982	608	1603	995	complete	true
meta_contig_complete_011_ISNpu15	2436	ISNpu15	ISKra4	609	1827	1218	complete	true
meta_contig_complete_012_ISAzs14	2380	ISAzs14	IS630	602	1778	1176	complete	true
meta_contig_complete_013_ISA1214-1	2438	ISA1214-1	ISNCY	612	1826	1214	complete	true
meta_contig_complete_014_ISTeha1	2859	ISTeha1	ISLre2	609	2250	1641	complete	true
meta_contig_complete_015_ISHsal1	2597	ISHsal1	ISH3	604	1993	1389	complete	true
meta_contig_complete_016_ISPye21	2556	ISPye21	IS110	600	1956	1356	complete	true
meta_contig_complete_017_ISBmu2	2418	ISBmu2	IS5	604	1814	1210	complete	true
meta_contig_complete_018_ISDre2	3052	ISDre2	IS1380	605	2447	1842	complete	true
meta_contig_complete_019_ISPa29	2734	ISPa29	IS110	600	2134	1534	complete	true
meta_contig_complete_020_ISBj18	2595	ISBj18	IS110	600	1995	1395	complete	true
meta_contig_complete_021_ISOni2	2395	ISOni2	ISKra4	608	1787	1179	complete	true
meta_contig_complete_022_ISLho1	2765	ISLho1	ISLre2	609	2156	1547	complete	true
meta_contig_complete_023_ISLhe11	2815	ISLhe11	ISLre2	609	2206	1597	complete	true
meta_contig_complete_024_ISMlo1	2605	ISMlo1	IS110	600	2005	1405	complete	true
meta_contig_complete_025_ISSba8	2531	ISSba8	IS110	600	1931	1331	complete	true
meta_contig_complete_026_ISHsal10	2259	ISHsal10	IS630	602	1657	1055	complete	true
meta_contig_complete_027_ISBfun1	2666	ISBfun1	IS110	600	2066	1466	complete	true
meta_contig_complete_028_ISMlo2	2602	ISMlo2	IS110	600	2002	1402	complete	true
meta_contig_complete_029_ISHwa13	2669	ISHwa13	ISH3	605	2064	1459	complete	true
meta_contig_complete_030_ISLde1	2807	ISLde1	ISLre2	604	2203	1599	complete	true
meta_contig_complete_031_ISBcen4	2549	ISBcen4	IS110	600	1949	1349	complete	true
meta_contig_complete_032_ISA0963-7	2175	ISA0963-7	IS481	606	1569	963	complete	true
meta_contig_complete_033_ISSysp8	2403	ISSysp8	ISKra4	608	1795	1187	complete	true
meta_contig_complete_034_ISLcr1	2815	ISLcr1	ISLre2	609	2206	1597	complete	true
meta_contig_complete_035_ISHla8	2670	ISHla8	ISH3	605	2065	1460	complete	true
meta_contig_complete_036_ISGlsp1	2408	ISGlsp1	ISKra4	604	1804	1200	complete	true
meta_contig_complete_037_ISA0963-3	2195	ISA0963-3	IS481	616	1579	963	complete	true
meta_contig_complete_038_ISCku2	3952	ISCku2	IS4	611	3341	2730	complete	true
meta_contig_complete_039_ISMhu9	2288	ISMhu9	IS701	604	1684	1080	complete	true
meta_contig_complete_040_ISPa11	2572	ISPa11	IS110	600	1972	1372	complete	true
meta_contig_complete_041_ISDre3	3044	ISDre3	IS1380	605	2439	1834	complete	true
meta_contig_complete_042_ISMex35	2502	ISMex35	IS5	604	1898	1294	complete	true
meta_contig_complete_043_ISHvo18	3092	ISHvo18	IS200/IS605	600	2492	1892	complete	true
meta_contig_complete_044_ISDsp3	2672	ISDsp3	IS6	608	2064	1456	complete	true
meta_contig_complete_045_ISCARN36	2380	ISCARN36	IS110	600	1780	1180	complete	true
meta_contig_complete_046_ISSsu6	2632	ISSsu6	ISL3	608	2024	1416	complete	true
meta_contig_complete_047_ISCysp25	2407	ISCysp25	ISKra4	609	1798	1189	complete	true
meta_contig_complete_048_ISAba825	2189	ISAba825	IS982	607	1582	975	complete	true
meta_contig_complete_049_ISRta3	2774	ISRta3	IS110	600	2174	1574	complete	true
meta_contig_trunc5p_000_ISHvo21	1642	ISHvo21	ISH3	0	1342	1342	edge_5p_truncated	true
meta_contig_trunc5p_001_ISTps2	1918	ISTps2	IS1380	0	1618	1618	edge_5p_truncated	true
meta_contig_trunc5p_002_ISPlu2	729	ISPlu2	IS200/IS605	0	429	429	edge_5p_truncated	true
meta_contig_trunc5p_003_ISAot1	1735	ISAot1	ISLre2	0	1435	1435	edge_5p_truncated	true
meta_contig_trunc5p_004_ISKpn4	1580	ISKpn4	IS110	0	1280	1280	edge_5p_truncated	true
meta_contig_trunc5p_005_ISCro5	1496	ISCro5	IS110	0	1196	1196	edge_5p_truncated	true
meta_contig_trunc5p_006_ISMac4	1103	ISMac4	IS481	0	803	803	edge_5p_truncated	true
meta_contig_trunc5p_007_ISRm2011-2	1166	ISRm2011-2	IS630	0	866	866	edge_5p_truncated	true
meta_contig_trunc5p_008_ISMye1	1343	ISMye1	IS256	0	1043	1043	edge_5p_truncated	true
meta_contig_trunc5p_009_ISPye20	1644	ISPye20	IS5	0	1344	1344	edge_5p_truncated	true
meta_contig_trunc5p_010_ISRssp11	1466	ISRssp11	IS5	0	1166	1166	edge_5p_truncated	true
meta_contig_trunc5p_011_ISStsp11	2268	ISStsp11	IS1182	0	1968	1968	edge_5p_truncated	true
meta_contig_trunc5p_012_ISMba16	861	ISMba16	IS200/IS605	0	561	561	edge_5p_truncated	true
meta_contig_trunc5p_013_ISKol4	1678	ISKol4	IS3	0	1378	1378	edge_5p_truncated	true
meta_contig_trunc5p_014_ISPko7	1251	ISPko7	IS110	0	951	951	edge_5p_truncated	true
meta_contig_trunc5p_015_IS1492	1721	IS1492	IS110	0	1421	1421	edge_5p_truncated	true
meta_contig_trunc5p_016_ISMae10	2129	ISMae10	IS1634	0	1829	1829	edge_5p_truncated	true
meta_contig_trunc5p_017_ISNsp2	1964	ISNsp2	IS200/IS605	0	1664	1664	edge_5p_truncated	true
meta_contig_trunc5p_018_ISHaha1	1767	ISHaha1	IS4	0	1467	1467	edge_5p_truncated	true
meta_contig_trunc5p_019_ISHsal9	1307	ISHsal9	IS630	0	1007	1007	edge_5p_truncated	true
meta_contig_trunc5p_020_ISCysp20	1189	ISCysp20	IS701	0	889	889	edge_5p_truncated	true
meta_contig_trunc5p_021_ISPfa1	1694	ISPfa1	IS110	0	1394	1394	edge_5p_truncated	true
meta_contig_trunc5p_022_ISCbt2	2313	ISCbt2	IS200/IS605	0	2013	2013	edge_5p_truncated	true
meta_contig_trunc5p_023_ISClte2	1829	ISClte2	IS200/IS605	0	1529	1529	edge_5p_truncated	true
meta_contig_trunc5p_024_ISNma12	2164	ISNma12	IS200/IS605	0	1864	1864	edge_5p_truncated	true
meta_contig_trunc5p_025_ISRbac1	1755	ISRbac1	IS1182	0	1455	1455	edge_5p_truncated	true
meta_contig_trunc5p_026_ISPye35	1264	ISPye35	IS630	0	964	964	edge_5p_truncated	true
meta_contig_trunc5p_027_ISTel2	1801	ISTel2	IS200/IS605	0	1501	1501	edge_5p_truncated	true
meta_contig_trunc5p_028_ISLca4	1822	ISLca4	ISLre2	0	1522	1522	edge_5p_truncated	true
meta_contig_trunc5p_029_ISPph3	1907	ISPph3	IS1380	0	1607	1607	edge_5p_truncated	true
meta_contig_trunc3p_000_ISFsp4	1879	ISFsp4	IS200/IS605	202	1879	1677	edge_3p_truncated	true
meta_contig_trunc3p_001_ISSau8	1615	ISSau8	ISL3	312	1615	1303	edge_3p_truncated	true
meta_contig_trunc3p_002_ISPlag1	1285	ISPlag1	IS701	217	1285	1068	edge_3p_truncated	true
meta_contig_trunc3p_003_ISAzvi4	1477	ISAzvi4	IS110	275	1477	1202	edge_3p_truncated	true
meta_contig_trunc3p_004_ISLesp1	1462	ISLesp1	ISKra4	381	1462	1081	edge_3p_truncated	true
meta_contig_trunc3p_005_ISHla11	1303	ISHla11	ISH3	163	1303	1140	edge_3p_truncated	true
meta_contig_trunc3p_006_ISAcma22	1405	ISAcma22	IS701	312	1405	1093	edge_3p_truncated	true
meta_contig_trunc3p_007_ISEch4	1588	ISEch4	IS110	362	1588	1226	edge_3p_truncated	true
meta_contig_trunc3p_008_ISHbo4	1906	ISHbo4	IS200/IS605	161	1906	1745	edge_3p_truncated	true
meta_contig_trunc3p_009_ISP1	1648	ISP1	ISL3	235	1648	1413	edge_3p_truncated	true
meta_contig_trunc3p_010_ISMasp5	1933	ISMasp5	IS66	183	1933	1750	edge_3p_truncated	true
meta_contig_trunc3p_011_ISCahy1	2049	ISCahy1	ISNCY	400	2049	1649	edge_3p_truncated	true
meta_contig_trunc3p_012_ISMma14	1633	ISMma14	IS66	191	1633	1442	edge_3p_truncated	true
meta_contig_trunc3p_013_ISAeme24	1611	ISAeme24	IS66	263	1611	1348	edge_3p_truncated	true
meta_contig_trunc3p_014_ISH20A	1544	ISH20A	ISH3	330	1544	1214	edge_3p_truncated	true
meta_contig_trunc3p_015_ISSa4	1126	ISSa4	IS982	293	1126	833	edge_3p_truncated	true
meta_contig_trunc3p_016_ISMae28	1751	ISMae28	ISAzo13	178	1751	1573	edge_3p_truncated	true
meta_contig_trunc3p_017_ISHli5	1729	ISHli5	ISH3	391	1729	1338	edge_3p_truncated	true
meta_contig_trunc3p_018_ISFac4	1562	ISFac4	IS200/IS605	326	1562	1236	edge_3p_truncated	true
meta_contig_trunc3p_019_ISAcma39	815	ISAcma39	IS200/IS605	289	815	526	edge_3p_truncated	true
meta_contig_trunc3p_020_ISCbe2	1598	ISCbe2	IS481	363	1598	1235	edge_3p_truncated	true
meta_contig_trunc3p_021_ISAau3	1390	ISAau3	IS5	299	1390	1091	edge_3p_truncated	true
meta_contig_trunc3p_022_ISHp608	1859	ISHp608	IS200/IS605	187	1859	1672	edge_3p_truncated	true
meta_contig_trunc3p_023_ISAeca3	1392	ISAeca3	IS110	182	1392	1210	edge_3p_truncated	true
meta_contig_trunc3p_024_IS1004	818	IS1004	IS200/IS605	228	818	590	edge_3p_truncated	true
meta_contig_trunc3p_025_ISLhe7	1232	ISLhe7	IS982	380	1232	852	edge_3p_truncated	true
meta_contig_trunc3p_026_ISSth1	1591	ISSth1	ISL3	398	1591	1193	edge_3p_truncated	true
meta_contig_trunc3p_027_IS605	1807	IS605	IS200/IS605	160	1807	1647	edge_3p_truncated	true
meta_contig_trunc3p_028_ISNamo6	1431	ISNamo6	ISH3	241	1431	1190	edge_3p_truncated	true
meta_contig_trunc3p_029_IS231M	1903	IS231M	IS4	324	1903	1579	edge_3p_truncated	true
meta_contig_truncboth_000_ISHla17	1689	ISHla17	IS200/IS605	0	1689	1689	edge_both_truncated	true
meta_contig_truncboth_001_IS1476	1362	IS1476	ISL3	0	1362	1362	edge_both_truncated	true
meta_contig_truncboth_002_ISSde11	1275	ISSde11	IS110	0	1275	1275	edge_both_truncated	true
meta_contig_truncboth_003_ISGdi5	949	ISGdi5	IS630	0	949	949	edge_both_truncated	true
meta_contig_truncboth_004_ISPye47	1168	ISPye47	IS110	0	1168	1168	edge_both_truncated	true
meta_contig_truncboth_005_ISTfu1	1523	ISTfu1	IS200/IS605	0	1523	1523	edge_both_truncated	true
meta_contig_truncboth_006_ISMasp4	1767	ISMasp4	IS66	0	1767	1767	edge_both_truncated	true
meta_contig_truncboth_007_ISSth2	1334	ISSth2	IS1182	0	1334	1334	edge_both_truncated	true
meta_contig_truncboth_008_IS5708	1229	IS5708	IS110	0	1229	1229	edge_both_truncated	true
meta_contig_truncboth_009_ISFtu4	767	ISFtu4	IS982	0	767	767	edge_both_truncated	true
meta_contig_negative_000	2160	none	none	-1	-1	0	negative	false
meta_contig_negative_001	2486	none	none	-1	-1	0	negative	false
meta_contig_negative_002	1816	none	none	-1	-1	0	negative	false
meta_contig_negative_003	1892	none	none	-1	-1	0	negative	false
meta_contig_negative_004	1452	none	none	-1	-1	0	negative	false
meta_contig_negative_005	1242	none	none	-1	-1	0	negative	false
meta_contig_negative_006	2366	none	none	-1	-1	0	negative	false
meta_contig_negative_007	958	none	none	-1	-1	0	negative	false
meta_contig_negative_008	2727	none	none	-1	-1	0	negative	false
meta_contig_negative_009	1711	none	none	-1	-1	0	negative	false
meta_contig_negative_010	1617	none	none	-1	-1	0	negative	false
meta_contig_negative_011	2685	none	none	-1	-1	0	negative	false
meta_contig_negative_012	2232	none	none	-1	-1	0	negative	false
meta_contig_negative_013	2050	none	none	-1	-1	0	negative	false
meta_contig_negative_014	1732	none	none	-1	-1	0	negative	false
meta_contig_negative_015	1713	none	none	-1	-1	0	negative	false
meta_contig_negative_016	896	none	none	-1	-1	0	negative	false
meta_contig_negative_017	1591	none	none	-1	-1	0	negative	false
meta_contig_negative_018	2432	none	none	-1	-1	0	negative	false
meta_contig_negative_019	2144	none	none	-1	-1	0	negative	false
meta_contig_negative_020	1941	none	none	-1	-1	0	negative	false
meta_contig_negative_021	1084	none	none	-1	-1	0	negative	false
meta_contig_negative_022	1943	none	none	-1	-1	0	negative	false
meta_contig_negative_023	2238	none	none	-1	-1	0	negative	false
meta_contig_negative_024	3427	none	none	-1	-1	0	negative	false
meta_contig_negative_025	2886	none	none	-1	-1	0	negative	false
meta_contig_negative_026	2437	none	none	-1	-1	0	negative	false
meta_contig_negative_027	2996	none	none	-1	-1	0	negative	false
meta_contig_negative_028	2156	none	none	-1	-1	0	negative	false
meta_contig_negative_029	913	none	none	-1	-1	0	negative	false
meta_contig_negative_030	1272	none	none	-1	-1	0	negative	false
meta_contig_negative_031	1869	none	none	-1	-1	0	negative	false
meta_contig_negative_032	1531	none	none	-1	-1	0	negative	false
meta_contig_negative_033	3178	none	none	-1	-1	0	negative	false
meta_contig_negative_034	1887	none	none	-1	-1	0	negative	false
meta_contig_negative_035	956	none	none	-1	-1	0	negative	false
meta_contig_negative_036	1244	none	none	-1	-1	0	negative	false
meta_contig_negative_037	3243	none	none	-1	-1	0	negative	false
meta_contig_negative_038	2579	none	none	-1	-1	0	negative	false
meta_contig_negative_039	2215	none	none	-1	-1	0	negative	false
meta_contig_negative_040	2084	none	none	-1	-1	0	negative	false
meta_contig_negative_041	2587	none	none	-1	-1	0	negative	false
meta_contig_negative_042	3283	none	none	-1	-1	0	negative	false
meta_contig_negative_043	2894	none	none	-1	-1	0	negative	false
meta_contig_negative_044	1273	none	none	-1	-1	0	negative	false
meta_contig_negative_045	2377	none	none	-1	-1	0	negative	false
meta_contig_negative_046	3161	none	none	-1	-1	0	negative	false
meta_contig_negative_047	1578	none	none	-1	-1	0	negative	false
meta_contig_negative_048	1843	none	none	-1	-1	0	negative	false
meta_contig_negative_049	981	none	none	-1	-1	0	negative	false
